employee_id,employee_name,role_title,pay_band,contract_type,employment_type,hire_date,unit_id,status
1001,Employee_1,Admin Officer,Band 4,Permanent,PT,6/21/2022,3,Active
1002,Employee_2,Technician,Band 4,Permanent,FT,10/11/2018,1,Active
1003,Employee_3,Nurse,Band 6,Bank,FT,5/28/2020,2,Active
1004,Employee_4,Admin Officer,Band 4,Bank,PT,8/17/2020,5,Active
1005,Employee_5,Admin Officer,Band 4,Bank,PT,2/13/2022,2,Active
1006,Employee_6,Technician,Band 6,Permanent,FT,3/29/2019,2,Active
1007,Employee_7,Nurse,Band 6,Permanent,FT,10/16/2020,1,Active
1008,Employee_8,Nurse,Band 3,Bank,PT,1/27/2023,4,Active
1009,Employee_9,Admin Officer,Band 7,Bank,PT,3/26/2020,2,Active
1010,Employee_10,Consultant,Band 7,Bank,PT,10/21/2019,3,Active
1011,Employee_11,Admin Officer,Band 4,Bank,PT,3/20/2022,4,Active
1012,Employee_12,Admin Officer,Band 7,Permanent,FT,7/1/2019,5,Active
1013,Employee_13,Admin Officer,Band 4,Bank,PT,4/30/2021,1,Active
1014,Employee_14,Admin Officer,Band 3,Permanent,PT,12/8/2020,5,Active
1015,Employee_15,Technician,Band 6,Bank,FT,3/16/2022,4,Active
1016,Employee_16,Nurse,Band 6,Permanent,PT,1/17/2018,4,Active
1017,Employee_17,Technician,Band 6,Bank,FT,4/10/2021,4,Active
1018,Employee_18,Technician,Band 7,Bank,PT,5/28/2021,5,Active
1019,Employee_19,Technician,Band 3,Bank,PT,6/7/2018,4,Active
1020,Employee_20,Admin Officer,Band 7,Bank,PT,4/22/2019,5,Active
1021,Employee_21,Consultant,Band 7,Permanent,FT,12/5/2020,4,Active
1022,Employee_22,Nurse,Band 3,Bank,FT,10/28/2021,3,Active
1023,Employee_23,Consultant,Band 3,Permanent,PT,6/2/2019,4,Active
1024,Employee_24,Technician,Band 3,Permanent,FT,4/9/2018,5,Active
1025,Employee_25,Technician,Band 3,Permanent,FT,3/31/2023,2,Active
1026,Employee_26,Consultant,Band 6,Permanent,FT,11/4/2022,4,Active
1027,Employee_27,Consultant,Band 5,Bank,FT,11/26/2020,2,Active
1028,Employee_28,Consultant,Band 5,Permanent,FT,10/7/2018,3,Active
1029,Employee_29,Technician,Band 3,Permanent,FT,10/4/2021,1,Active
1030,Employee_30,Technician,Band 5,Permanent,PT,5/12/2019,3,Active
1031,Employee_31,Nurse,Band 5,Bank,PT,10/29/2018,4,Active
1032,Employee_32,Nurse,Band 3,Bank,FT,6/30/2018,2,Active
1033,Employee_33,Technician,Band 5,Bank,PT,8/30/2019,2,Active
1034,Employee_34,Consultant,Band 7,Bank,PT,1/27/2021,5,Active
1035,Employee_35,Consultant,Band 4,Permanent,PT,12/1/2019,2,Active
1036,Employee_36,Nurse,Band 4,Permanent,PT,9/19/2020,5,Active
1037,Employee_37,Technician,Band 3,Bank,FT,2/13/2021,1,Active
1038,Employee_38,Nurse,Band 6,Permanent,PT,7/10/2018,4,Active
1039,Employee_39,Nurse,Band 3,Permanent,PT,9/10/2018,5,Active
1040,Employee_40,Admin Officer,Band 6,Permanent,FT,9/7/2020,1,Active
1041,Employee_41,Admin Officer,Band 4,Bank,FT,7/16/2020,2,Active
1042,Employee_42,Admin Officer,Band 3,Bank,PT,3/30/2021,2,Active
1043,Employee_43,Consultant,Band 7,Permanent,PT,7/3/2021,1,Active
1044,Employee_44,Technician,Band 5,Bank,PT,9/8/2021,2,Active
1045,Employee_45,Technician,Band 6,Bank,PT,5/8/2018,1,Active
1046,Employee_46,Technician,Band 5,Bank,PT,1/18/2018,5,Active
1047,Employee_47,Technician,Band 5,Bank,PT,12/22/2022,5,Active
1048,Employee_48,Admin Officer,Band 3,Bank,FT,10/25/2022,1,Active
1049,Employee_49,Consultant,Band 5,Permanent,PT,7/20/2019,5,Active
1050,Employee_50,Consultant,Band 7,Bank,PT,7/24/2019,5,Active
1051,Employee_51,Admin Officer,Band 5,Permanent,FT,9/8/2021,5,Active
1052,Employee_52,Consultant,Band 3,Permanent,FT,3/11/2023,3,Active
1053,Employee_53,Admin Officer,Band 7,Bank,FT,11/17/2019,4,Active
1054,Employee_54,Technician,Band 4,Permanent,FT,12/21/2022,2,Active
1055,Employee_55,Admin Officer,Band 5,Permanent,PT,9/18/2019,3,Active
1056,Employee_56,Technician,Band 3,Permanent,PT,8/4/2021,5,Active
1057,Employee_57,Technician,Band 4,Bank,PT,5/21/2023,1,Active
1058,Employee_58,Nurse,Band 4,Bank,PT,5/3/2020,5,Active
1059,Employee_59,Admin Officer,Band 6,Permanent,PT,8/14/2022,4,Active
1060,Employee_60,Nurse,Band 7,Bank,PT,8/19/2020,5,Active
1061,Employee_61,Admin Officer,Band 5,Bank,FT,7/21/2022,1,Active
1062,Employee_62,Admin Officer,Band 3,Bank,PT,6/4/2018,4,Active
1063,Employee_63,Nurse,Band 6,Bank,FT,5/5/2019,5,Active
1064,Employee_64,Nurse,Band 7,Permanent,FT,11/10/2021,4,Active
1065,Employee_65,Admin Officer,Band 6,Permanent,PT,2/24/2020,2,Active
1066,Employee_66,Consultant,Band 7,Bank,FT,2/1/2021,2,Active
1067,Employee_67,Technician,Band 7,Bank,PT,5/7/2023,5,Active
1068,Employee_68,Nurse,Band 5,Permanent,FT,11/17/2021,4,Active
1069,Employee_69,Technician,Band 7,Permanent,PT,1/9/2023,1,Active
1070,Employee_70,Consultant,Band 6,Bank,FT,9/3/2018,5,Active
1071,Employee_71,Consultant,Band 7,Permanent,PT,4/14/2021,2,Active
1072,Employee_72,Consultant,Band 5,Bank,PT,11/28/2020,2,Active
1073,Employee_73,Nurse,Band 5,Bank,PT,2/9/2022,5,Active
1074,Employee_74,Consultant,Band 6,Permanent,PT,9/2/2022,4,Active
1075,Employee_75,Nurse,Band 4,Permanent,PT,1/29/2020,2,Active
1076,Employee_76,Consultant,Band 4,Bank,FT,6/22/2019,4,Active
1077,Employee_77,Technician,Band 7,Bank,FT,3/6/2023,2,Active
1078,Employee_78,Technician,Band 3,Permanent,FT,1/16/2023,2,Active
1079,Employee_79,Admin Officer,Band 7,Bank,PT,7/9/2020,3,Active
1080,Employee_80,Technician,Band 6,Permanent,FT,2/12/2019,2,Active
1081,Employee_81,Admin Officer,Band 6,Bank,PT,6/9/2019,1,Active
1082,Employee_82,Technician,Band 6,Permanent,PT,4/7/2020,5,Active
1083,Employee_83,Nurse,Band 6,Permanent,FT,3/10/2022,5,Active
1084,Employee_84,Technician,Band 6,Permanent,FT,6/21/2020,4,Active
1085,Employee_85,Admin Officer,Band 5,Bank,PT,1/23/2023,2,Active
1086,Employee_86,Admin Officer,Band 4,Bank,FT,2/5/2018,1,Active
1087,Employee_87,Consultant,Band 6,Permanent,PT,11/16/2019,4,Active
1088,Employee_88,Nurse,Band 3,Bank,PT,1/20/2018,3,Active
1089,Employee_89,Technician,Band 3,Permanent,PT,11/17/2018,4,Active
1090,Employee_90,Consultant,Band 3,Permanent,PT,12/5/2022,4,Active
1091,Employee_91,Technician,Band 3,Bank,PT,5/27/2019,2,Active
1092,Employee_92,Technician,Band 5,Bank,FT,2/4/2019,3,Active
1093,Employee_93,Consultant,Band 3,Permanent,FT,10/16/2019,4,Active
1094,Employee_94,Consultant,Band 6,Bank,PT,8/29/2020,1,Active
1095,Employee_95,Consultant,Band 7,Bank,PT,3/22/2023,1,Active
1096,Employee_96,Consultant,Band 3,Permanent,FT,4/16/2019,5,Active
1097,Employee_97,Consultant,Band 5,Permanent,FT,3/12/2021,3,Active
1098,Employee_98,Technician,Band 5,Bank,PT,1/20/2021,3,Active
1099,Employee_99,Consultant,Band 3,Permanent,FT,10/9/2021,5,Active
1100,Employee_100,Nurse,Band 7,Permanent,PT,4/13/2020,4,Active
